job_title,company_name,position_type,job_location,skills,experience
Deputy Manager_Assistant Lead_GCP Data Engineer_Pune,Vodafone Intelligent Solutions,Full time,"Pune, India","Data Modelling,Data Warehousing,Java,Data Manipulation,Python",2-5 Years
Customer Data Engineer (EMEA Timezone),Databricks,Full time,Bengaluru / Bangalore,"scikit-learn,DSS,Pandas,Hadoop,Spark,OLAP,Kafka,Sql,Oltp",3-5 Years
Data Engineer I,Amazon Music,Full time,"Bengaluru / Bangalore, India","Sql,AWS,Etl,Python,Spark,Redshift",1-3 Years
Data Engineer,ICF,Full time,"Delhi, India","cloud-based architectures,CPLEX,Gurobi,Operations Research,Linear Programming",2-4 Years
Senior Data Engineer,Ecolab,Full time,"Bengaluru / Bangalore, India","dw/bi,Azure Webjobs,EBX,MDM,T-SQL Development,Web Portal",5-7 Years
Data Engineer - DnD,Maersk Global Service Centres India Private Limited,Full time,"Bengaluru / Bangalore, India","Extended Star Schema,GitOps,Confluent Kafka,Integration Runtime",0-2 Years
AWS Data Engineer/Developer,Infosys Limited,Full time,"Bengaluru / Bangalore, India","AWS/ PAAS,Amazon Web Services Developer,cloud platform",Fresher
Python Data Engineer,Changeleaders Consulting Private Limited,Full time,"Kolkata, Pune",Python data engineer,12-20 Years
Big Data Engineer,Changeleaders Consulting Private Limited,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Bigdata,Spark,Python,Pyspark,Scala",8-13 Years
Senior Data Engineer,Mitchell Martin India Private Limited,Full time,Bengaluru / Bangalore,"Data,snowflake,Redshift,Hadoop,Spark,Python,Pyspark,AWS",8-13 Years
GCP Data Engineer - 3+ Years,WovV Technologies (Division of Techno compass consulting Pvt Ltd),"Work From Home, Full time","Chennai, Mumbai","Pub/Sub,container,Cloud Spanner,Gcp,Etl,Python,Sql,Data Pipeline",3-9 Years
Urgent requirement Data Science Full Time,Company name confidential,"Jobs for Women, Full time","Bengaluru / Bangalore, Chennai","Data engineers,Azure Data Engineer,Data Science",7-12 Years
SnowFlake Data Engineer,Anlage Infotech India Private Limited,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Snow Flake,Data Engineer,AWS",3-6 Years
