job_title,company_name,position_type,job_location,skills,experience
Data Engineer Batch,Barclays,Full time,Pune,"r,Data Analysis,hdfs,Hive,Impala,Ab-initio,python,Scala",5-7 Years
BI Data Engineer,"Stefanini Philippines, Inc.",Full time,"Gurgaon / Gurugram, India","dimensional modelling,data normalization,MDX,Visualization,ELT",0-2 Years
Data Engineer - Batch,Barclays,Full time,Chennai,"Data Analysis,Ab-initio,cloud,Data Modelling,python,Scala,Spark",5-7 Years
Lead Data Engineer,Barclays,Full time,Pune,"Etl,Abinitio,shell scripting,Hadoop,Java,Python,Devops,Scala",8-10 Years
Associate - Python Data Engineer - GDC,PwC,Full time,Kolkata,"Python Data Engineer,Business Intelligence,Insights,Enterprise Content",0-2 Years
Senior Associate 2- Data Engineer- D&AT IFS - Second Shifts,PwC,Full time,Bengaluru / Bangalore,"Azure Analysis Services,Azure SQL DW,Java,Sql,Python,Informatica",0-2 Years
Data Engineer,Barclays,Full time,Delhi,"R,MLFlow,Sql,AWS,SAS,Hadoop,Scala,Tableau,Python",0-2 Years
Sr Associate - Data Engineer - D&AT IFS - Second Shifts,PwC,Full time,Bengaluru / Bangalore,"Azure Analysis Services,Azure SQL DW,Java,Sql,Python,Informatica",0-2 Years
Data Engineer- Batch,Barclays,Full time,Chennai,"r,hdfs,Hive,Impala,Ab-initio,Pandas,Etl,Big Data,unix,python",5-7 Years
Data Engineer - Sr. Consultant,Visa,Full time,"Bengaluru / Bangalore, India",,Fresher
Data Engineer Real Time,Barclays,Full time,Pune,"DevOps Pipelines,GrpahQL,Flink,Apache Sprak,AWS,Java,Kafka",1-3 Years
"Senior Business Analytics, Data Engineer, Bangalore India (Onsite)",Ralph Lauren Corporation,Full time,"Bengaluru / Bangalore, India","Python,Sql,AWS,Etl,Data Modeling,Data Warehousing,Azure",5-7 Years
Associate Lead Software Engineer- Data Engineer,Clarivate,Full time,"Bengaluru / Bangalore, India","CMSes,message queues,schedulers,Master Data Management",3-5 Years
Senior Data Engineer OCI,Oracle,Full time,"Bengaluru / Bangalore, India","Java,Sql,Oracle",0-2 Years
Data Engineer Real Time,Barclays,Full time,Chennai,"DevOps Pipelines,GrpahQL,Flink,Apache Sprak,Java,Kafka,Gradle",1-3 Years
Data Engineer Real Time,Barclays,Full time,Pune,"DevOps Pipelines,open-source landscape,Event Driven architecture",1-3 Years
Data Engineer Real Time,Barclays,Full time,Chennai,"DevOps Pipelines,Java,AWS,Apache Flink,Apache Spark,Gradle",0-2 Years
"Data Engineer, Python, GCP/Senior Software Engineer/Hyderabad/GDT : 0000JEMW",HSBC,Full time,"Hyderabad / Secunderabad, Telangana, India","Cloud SQL,Google Cloud SDK,Terraform script,Pubsub,Data Flow",4-8 Years
Data Engineer,Barclays,Full time,Pune,"Teradata,Sql,Unix,Oracle,Big Data,Hadoop,Ab-initio,Spark",0-2 Years
Data Engineer - Batch,Barclays,Full time,Chennai,"Data Analysis,Ab-initio,cloud,Data Modelling,python,Scala,Spark",5-7 Years
"Data Engineer, Python, GCP/Senior Software Engineer/Hyderabad/GDT : 0000JEMM",HSBC,Full time,"Hyderabad / Secunderabad, Telangana, India","Cloud SQL,Google Cloud SDK,Terraform script,Pubsub,Data Flow",4-8 Years
sr. data engineer.,Randstad,Full time,"Hyderabad / Secunderabad, Telangana","infrastructure management tools,cloud functions,data engineering",4-7 Years
Growth_Comm.Banking_Data Engineer_NCT_Pune,Deutsche Bank,Full time,"Pune, India","Newman,Karate,Hp Alm,Javascript,Node.js,Java,Postman",0-2 Years
Lead Data Engineer,Visa,Full time,"Bengaluru / Bangalore, India",,Fresher
Senior big data engineer,Barclays,Full time,Pune,"analytical,Problem Solving,communication,Organizational,Hive",4-7 Years
Data Engineer,Vodafone,Full time,Pune,"Oracle Sql,Unix Shell Scripting,Python,Ms Sql Server,Spark",3-5 Years
Growth_Comm.Banking_Data Engineer_NCT_Pune,Deutsche Bank,Full time,"Pune, India","Newman,Karate,Hp Alm,Javascript,Node.js,Java,Postman",0-2 Years
Senior Software Engineer (Big Data Engineer in Machine Learning),PubMatic,Full time,India,"Airflow,mlflow,Hadoop,HBase,Kafka,Machine Learning,Spark",3-5 Years
Data Engineer,Barclays,Full time,Pune,"TWS Scheduling Knowledge,Teradata,Sql,Unix,Oracle,Big Data",0-2 Years
Pyspark Big Data Engineer,KPMG,Full time,"Gurugram, Gurgaon / Gurugram","transformations,feature engineering,Pyspark,Data Cleaning,python",0-2 Years
Data Engineer - X Delivery,Boston Consulting Group,Full time,India,"GitHub Actions,Airflow,Python,HBase,Pyspark,Machine Learning",2-4 Years
Data Engineer,Barclays,Full time,Pune,"Teradata,Sql,Unix,Oracle,Big Data,Hadoop,Ab-initio,Spark",0-2 Years
GCP Data Engineer,Vodafone Intelligent Solutions,Full time,"Pune, India","Data Modelling,Data Warehousing,Java,Data Manipulation,Python",2-5 Years
Senior Data Engineer,ABB Limited,Full time,"Bengaluru / Bangalore, India","scalable data warehousing solutions,enterprise grade solution implementations",5-8 Years
Data Engineer Batch,Barclays,Full time,Pune,"Teradata,r,Hive,Impala,Ab-initio,sql server,python,Scala",0-2 Years
Data Engineer Real Time,Barclays,Full time,Chennai,"DevOps Pipelines,GrpahQL,Flink,Apache Sprak,Java,Kafka,Gradle",1-3 Years
Data Engineer,Deutsche Bank,Full time,"Pune, India","Google Pub Sub,Cloud Spanner,CI/CD pipelines,Cloud Run,Data Vault 2.0",0-2 Years
"Data Engineer, Python, GCP/Senior Software Engineer/Hyderabad/GDT : 0000JEMI",HSBC,Full time,"Hyderabad / Secunderabad, Telangana, India","Cloud SQL,Google Cloud SDK,Pubsub,Data Flow,AirFlow,GCS",4-8 Years
Senior Data Engineer -Databricks + .Net,3Pillar Global,Full time,India,"C#/.Net,Azure HDInsight,Hadoop,Databricks,SQL Server,Powerbi",4-10 Years
"Data Engineer, Python, GCP/Technical Lead/Consultant Specialist/Hyderabad/GDT : 0000JEMT",HSBC,Full time,"Hyderabad / Secunderabad, Telangana, India","Cloud SQL,Google Cloud SDK,Pubsub,Data Flow,AirFlow,GCS",6-10 Years
GCP Data Engineer,Vodafone,Full time,Pune,"Data Modelling,Data Warehousing,Java,Data Manipulation,Python",2-5 Years
AVP - Data Engineer,Barclays,Full time,Pune,"glue,aws,Redshift,S3,Cloud Formation,Github,Devops,Etl",5-10 Years
Senior Associate - Python Data Engineer - GDC,PwC,Full time,Kolkata,"Python Data Engineer,Business Intelligence,Insights,Enterprise Content",0-2 Years
Senior Data Engineer,Snowflake,Full time,"Pune, India","snowflake,python,Etl Tools,Data Modeling,Data Warehousing,Sql",7-9 Years
"Data Engineer, Data Engineering",Cardinal Health,Full time,"Bengaluru / Bangalore, India",,Fresher
Data Engineer - AWS/Databricks,Baker Hughes,Full time,"Bengaluru / Bangalore, India","Databricks,Pig,AWS,Python,Perl",2-6 Years
Senior Data Engineer,ABB Limited,Full time,"Bengaluru / Bangalore, India","scalable data warehousing solutions,enterprise grade solution implementations",5-8 Years
Data Engineer - X Delivery,Boston Consulting Group,Full time,India,"GitHub Actions,Airflow,Python,HBase,Pyspark,Machine Learning",2-4 Years
Data engineer,Coders Brain Technology Private Limited,"Contract Job, Part time","Bengaluru / Bangalore, Remote","Data Engineer,Azure,Python,Sql,Hadoop,Scala",4-8 Years
Lead Data Engineer,Anblicks LLC,Full time,Vijayawada,"snowflake,Data Engineer,Databricks,Apache Spark,Hadoop",12-21 Years
Data Engineer II (Knime/Alteryx),Company name confidential,"Jobs for Women, Work From Home, Full time",Remote,"Alteryx,Tableau,Power Bi,Knime",8-12 Years
Sr.Data Engineer,Covalense Technologies Private Limited,Full time,Remote,"""databricks"",""data bricks"",Azure",7-14 Years
Data Engineer - Visualization and Reporting,Tek Village Associates LLP,Full time,Remote,"Visualization,Reporting,Sql,Scripting,Database,Data Modeling",1-11 Years
GCP Data Engineer,Talent 21 Management and Shared Services Private Limited,Full time,Remote,"Gcp,BigQuery,Hadoop,Dataproc,Spark,Hive",5-10 Years
Data Engineer,Tek Village Associates LLP,Full time,Remote,"Pipelines,R,Modeling,Data Mining,Data Extraction,Data Management",1-11 Years
Data Engineer - Big Data,Convergys India Services Private Limited,Full time,Remote,"Big Data,RDBMS,T-sql,Sql Performance Tuning,Store Procedures",4-8 Years
Data Engineer,MNR Solutions Private Limited,Full time,Chennai,"snowflake,Databricks,Sql,Etl",5-9 Years
Data Engineer- LIS,Robert Bosch,Full time,India,"Jetbrains IDE,Anzo,Stardog,Verbal Communication,Collaboration",0-2 Years
GCP Data Engineer,ERM Placement Services Private Limited,Full time,Kolkata,Gcp,4-8 Years
Data Engineer,MNR Solutions Private Limited,Full time,Chennai,"snowflake,Databricks,Sql,Etl",5-9 Years
GCP Data Engineer,Conquer Hire Llp,Full time,Bengaluru / Bangalore,"Data lake implementation,Big Query,Data Warehouse,BigQuery",3-5 Years
Lead Data Engineer,Anblicks LLC,Full time,"Ahmedabad, Hyderabad / Secunderabad, Telangana","snowflake,Data Engineer,Databricks,Apache Spark,Hadoop",12-21 Years
Data Engineer,Company name confidential,"Jobs for Women, Full time",Bengaluru / Bangalore,"Azure Data Bricks,Adf,Pyspark,Sql",4-10 Years
Data Engineer,Sciente Consulting,Full time,Bengaluru / Bangalore,"Airflow,AWS,Pyspark,Spark,Python",2-8 Years
Data Engineer- Python,Power It Services Private Limited,Full time,Chennai,"Python,Kafka,Microservices",6-9 Years
Lead Data Engineer,Sciente International Pte Ltd,Full time,Bengaluru / Bangalore,"Airflow,Microservices Architecture,AWS,Gcp,Azure,Scala,Spark",8-12 Years
Data Engineer,Talent 21 Management and Shared Services Private Limited,Full time,Bengaluru / Bangalore,"Fivetran,Data Engineer,Etl,Apache Airflow",8-10 Years
Senior Data Engineer,Hr Remedy India,Full time,"Mumbai, Pune","Data Engineer,Etl,Azure,databricks",6-13 Years
Azure Data Engineer,ERM Placement Services Private Limited,Full time,Kolkata,Azure Data Engineer,4-8 Years
Big Data Engineer,Tps Infotech Private Limited,Full time,Pune,"Big Data,Java,Spark",3-8 Years
Azure Data Engineer,ERM Placement Services Private Limited,Full time,Kolkata,"Azure,Sql",4-7 Years
We are looking for Cloud Data Engineer Part/Full time Trainers who have passionate about training,Quality Thought Infosystems (India) Private Limited,Full time,"Hyderabad / Secunderabad, Telangana","Cloud Data Engineer,Snow Flake,Gcp,AWS,Azure,Adf",5-15 Years
Azure Data Engineer,Talent Junction Indus Infotech LLP,Full time,Delhi,"Azure,Scrum,Agile",4-8 Years
Data engineer,MNR Solutions Private Limited,Full time,Chennai,"Snow Flake,SQL Server,Azure Data Bricks",5-10 Years
Data Engineer,Asianlink Consultancy,Full time,"Bengaluru / Bangalore, Mumbai City, Navi Mumbai, Thane","""Data Engineer"",Data Engineer",4-14 Years
Data Engineer Lead,Team Ace HR LLP,Full time,"Chennai, Mumbai","Data Brickks,Pysprak,Adf,Azure Data Factory,DataBricks,Python",6-14 Years
Azure Data Engineer,GSPANN Technologies,Full time,"Hyderabad / Secunderabad, Telangana, Pune","Data Bricks,Adf,Azure Logic Apps,Azure IOT",4-9 Years
Data Engineer,ValueLabs LLP,Full time,"Hyderabad / Secunderabad, Telangana","snowflake,dbt,Databricks,Python",7-12 Years
Azure Data Engineer,Talent Junction Indus Infotech LLP,Full time,Delhi,"Azure,Sql,Data Management",5-12 Years
Data Engineer -AWS with Pyspark,Changeleaders Consulting Private Limited,Full time,"Bengaluru / Bangalore, Chennai","Glue,Snow Flake,AWS,Pyspark",5-10 Years
"data engineer , 4 - 11 years",Anlage Infotech India Private Limited,Full time,Chennai,Data Engineer,4-11 Years
Lead azure data engineer,Prajosh Technologies Private Limited,Full time,"Hyderabad / Secunderabad, Telangana","Pyspark,Data Modeling,Data Mining,Sql",7-12 Years
Data Engineer,Wintech Services ( India) Private Limited,Full time,"Hyderabad / Secunderabad, Telangana","panda,aws redshift data pipelines.,Python,Numpy,Sql,aws glue",7-15 Years
Sr. Data Engineer,Adept Strategic Human Resources Management,Full time,Gurgaon / Gurugram,"Google BigQuery,snowflake,Data Engineer,Python,Sql,Data Warehouse",7-10 Years
Data Engineer,Bigleap Technologies and Solutions Private Limited,"Contract Job, Part time","Hyderabad / Secunderabad, Telangana","airflow,Hadoop,Pyspark",5-15 Years
AZURE DATA Engineer,GSPANN Technologies,Full time,"Gurgaon / Gurugram, Hyderabad / Secunderabad, Telangana","Adf,Azure Data Bricks,Azure Data Factory",7-12 Years
QA Data Engineer,Gharondaa Advisors Private Limited,Full time,"Mumbai, Pune","Talend Data Fabric,snowflake,Data Cloud,CI/CD,Sql,AWS,Jenkins",5-10 Years
Data Engineer | Permanent WFH/Remote,WovV Technologies (Division of Techno compass consulting Pvt Ltd),"Work From Home, Full time","Bengaluru / Bangalore, Chennai","Airflow,Flask,Python,Sql,Pandas,FastAPI",2-3 Years
Data Engineer,Hireign Innoways (OPC) Private Limited,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Snow Flake,Data Engineer,Python,AWS",4-9 Years
Azure Data Engineer,Manvsion consulting Pvt Ltd,Full time,Mumbai,"Azure,Data Warehousing,Data Migration,Azure Data Factory",5-8 Years
Azure Data Engineer,Adept Strategic Human Resources Management,Full time,"Hyderabad / Secunderabad, Telangana","Azure Data Engineer,Azure SQL Database,Synapse,Azure Data Factory",3-8 Years
Data Engineer,Sciente Consulting,Full time,Bengaluru / Bangalore,"Airflow,AWS,Pyspark,Spark,Python",2-8 Years
Data Engineer/AWS Data Engineer,Rapid Talent Solutions,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","AWS Data Engineer,Data Engineer,Python,Etl,Sql,Dwh,AWS",5-10 Years
Sr. Talend Data Engineer,Company name confidential,"Jobs for Women, Work From Home, Full time","Bengaluru / Bangalore, Chennai","snowflake,Salesforce,Talend",8-13 Years
Azure Data Engineer,Talent Junction Indus Infotech LLP,Full time,Delhi,"Azure,Scrum,Agile",4-8 Years
Data Engineer,Company name confidential,"Jobs for Women, Full time",Bengaluru / Bangalore,"Azure Data Bricks,Adf,Pyspark,Sql",4-10 Years
Azure Data Engineer,ERM Placement Services Private Limited,Full time,Kolkata,Azure Data Engineer,4-8 Years
Data Engineer,Apidel Technologies Private Limited,Full time,Bengaluru / Bangalore,Java developer,5-8 Years
Data Engineer,Reach Here Private Limited,Full time,"Mumbai, Mumbai City, Navi Mumbai, Thane","Snow Flake,datalake,Cloud,AWS,Pyspark,Python,Data Integration",4-10 Years
Data Engineer Python SCALA GCP Snow Flake,Ibronix Technology Solutions Private Limited,"Work From Home, Full time",Chennai,"Snow Flake,BIG Query,Gcp,Python,Pyspark,Scala",2-10 Years
GCP Data Engineer,ERM Placement Services Private Limited,Full time,Kolkata,Gcp,4-8 Years
Senior data engineer,Supernal Infotech Private Limited,Full time,"Bengaluru / Bangalore, Chennai","big query,dimensional modelling,Java,python,Scala,Spark,Pyspark",5-13 Years
Data Engineer,Hyper Think Systems Private Limited,Full time,Bengaluru / Bangalore,"oil and gas industry,Phyton",5-10 Years
Hiring for Data Engineer,Company name confidential,"Jobs for COVID-19 Layoffs, Full time",Bengaluru / Bangalore,"Data Mapping,Data Engineer,Etl,Sql,Python,AWS,Data Modelling",5-8 Years
staff engineer/data engineer,Supernal Infotech Private Limited,Full time,"Bengaluru / Bangalore, Chennai","dimensional modelling,big query,airflow,Python,Java,Sql,Spark",12-16 Years
Automation Data Engineer,Hr Remedy India,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","automation data engineer,Spark SQL,Hive,Pyspark,Hadoop,Shell Scripting",3-6 Years
IT Multinational Company Looking for LEAD -Azure Data Engineer,Anlage Infotech India Private Limited,Full time,"Bengaluru / Bangalore, Pune","azure data engineer,Azure",10-15 Years
Data Engineer,Supernal Infotech Private Limited,Full time,"Bengaluru / Bangalore, Chennai","Plsql,Sap Hana,Sap Bo,Informatica,Hadoop,Hive,Spark,Pyspark",6-8 Years
AWS Sr Data Engineer,Connect Consultant,Full time,"Bengaluru / Bangalore, Mumbai","Python,Java,Scala,Hive,Spark,AWS,Gcp,Azure",7-17 Years
Data Engineer - Associate,Bizmetric,Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram","Azure Data Lake Storage,Data Engineer,Azure Data Factory,Azure Databricks",0-2 Years
Data Engineer-AWS Glue,Mississippi Consultants LLP,Full time,"Mumbai, Pune","Glue,AWS,Pyspark",3-8 Years
DATA ENGINEER,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Full time,"Bengaluru / Bangalore, Chennai","Data Engineer,Pyspark,Python",8-13 Years
Data Engineer,V H R Solutions Private Limited,Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",Data Engineer + Azure Certification or AWS Certification,5-15 Years
GCP Data Engineer Lead,Conquer Hire Llp,Full time,Bengaluru / Bangalore,"BigQuery,Etl,Informatica,Talend,DataStage,DataFlow,Dataproc",5-8 Years
Data Engineer,People Grown Technologies Private Limited,Full time,Bengaluru / Bangalore,"Pyspark,Databricks,Data Engineer,data engineering,Sql",8-12 Years
Data Engineer,ERM Placement Services Private Limited,Full time,"Gurgaon / Gurugram, Mumbai","Data Analysis,Data Mining,Data Engineer",4-10 Years
Data Engineer,Dmaic Academy And Consultancy,Full time,Bengaluru / Bangalore,"Data Engineer,Data Warehouse,Etl,Sql",5-8 Years
Data Engineer,Aurumdata Solutions India Private Limited,"Contract Job, Part time","Bengaluru / Bangalore, Chennai","Data Engineer,Python,AWS,Spark,Pyspark,Sql,Git",6-12 Years
Data Engineer,Bigleap Technologies and Solutions Private Limited,"Contract Job, Part time","Hyderabad / Secunderabad, Telangana","airflow,Hadoop,Pyspark",5-15 Years
Data Engineer- Smart Building Analytics,ValueSoft Info Services Private Limited,Full time,Pune,"Big Data,AWS,Web Service,Amazon Web Service,Data Engineer",6-9 Years
Data Engineer | Permanent WFH/Remote,WovV Technologies (Division of Techno compass consulting Pvt Ltd),"Work From Home, Full time","Bengaluru / Bangalore, Chennai","Airflow,Flask,Python,Sql,Pandas,FastAPI",2-3 Years
Big Data Engineer,Greentick Value Services Private Limited,Full time,Bengaluru / Bangalore,"Big Data,Scala,Sql,Java,AWS,Spark,AWS,Azure",4-8 Years
Data Engineer,MNR Solutions Private Limited,Full time,Chennai,"snowflake,Databricks,Sql,Etl",5-9 Years
QA Data Engineer,Gharondaa Advisors Private Limited,Full time,"Mumbai, Pune","Talend Data Fabric,snowflake,Data Cloud,CI/CD,Sql,AWS,Jenkins",5-10 Years
DATA ENGINEER,Moxieit Digital Private Limited,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Data Engineering (Python,SQL ),Databricks",6-8 Years
Data Engineer- BIG DATA,Spectral Consultants,Full time,"Delhi, Noida","Data Modelling,Sql,python,Java,AWS,Azure",6-8 Years
GCP Data Engineer,Changeleaders Consulting Private Limited,Full time,"Bengaluru / Bangalore, Pune","Pubsub,airflow,Gcp,Python,Python,Sql,BigQuery",3-12 Years
Data Engineer,Anblicks LLC,Full time,Vijayawada,"Data Engineer,Data Architecture,Python,Sql",4-8 Years
Data Engineer,Asianlink Consultancy,Full time,"Bengaluru / Bangalore, Mumbai City, Navi Mumbai, Thane","""Data Engineer"",Data Engineer",4-14 Years
Hiring for Data Engineer immediate,Company name confidential,"Jobs for Women, Full time","Bengaluru / Bangalore, Gurgaon / Gurugram","snowflake,Python Programming,Sql,Hadoop,Etl,Hive",7-12 Years
Data Engineer _AWS,Clinicart Healthcare Consulting,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Data Processing,Analytics,Monitoring,Big Data Analytics,Debugging",1-5 Years
Data Engineer -AWS with Pyspark,Changeleaders Consulting Private Limited,Full time,"Bengaluru / Bangalore, Chennai","Glue,Snow Flake,AWS,Pyspark",5-10 Years
"data engineer , 4 - 11 years",Anlage Infotech India Private Limited,Full time,Chennai,Data Engineer,4-11 Years
GCP Data Engineer,Teksamurai LLC,Full time,Pune,"Spanner,GCS,GKE,BigData,Hadoop,BigQuery,Spark,Kafka",3-8 Years
Seeking Talented Data Engineer - Apply Now!,Brillminds Global Private Limited,Full time,"Hyderabad / Secunderabad, Telangana",Data Engineer,5-12 Years
Data Engineer - AWS,Excellent Opportunity Placements,Full time,Pune,"Data Engineer,AWS,Amazon Web Service,Azure,Gcp",4-7 Years
Data Engineer,Taggd,Full time,Bengaluru / Bangalore,Java/Python/Scala,3-5 Years
Azure Data Engineer,Adept Strategic Human Resources Management,Full time,"Hyderabad / Secunderabad, Telangana","Azure Data Engineer,Azure SQL Database,Synapse,Azure Data Factory",3-8 Years
Data Engineer,Hireign Innoways (OPC) Private Limited,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Snow Flake,Data Engineer,Python,AWS",4-9 Years
Data Engineer,Sciente Consulting,Full time,Bengaluru / Bangalore,"Airflow,AWS,Pyspark,Spark,Python",2-8 Years
Data Engineer,Hyper Think Systems Private Limited,Full time,Bengaluru / Bangalore,"oil and gas industry,Phyton",5-10 Years
Senior data engineer,Supernal Infotech Private Limited,Full time,"Bengaluru / Bangalore, Chennai","big query,dimensional modelling,Java,python,Scala,Spark,Pyspark",5-13 Years
AWS Cloud Data Engineer,Hr Remedy India,Full time,Pune,"AWS,Cloud,Data Migration,Data Modelling,Sql,Mainframe",4-7 Years
Data Engineer,Apidel Technologies Private Limited,Full time,Bengaluru / Bangalore,Java developer,5-8 Years
Data Engineer,Reach Here Private Limited,Full time,"Mumbai, Mumbai City, Navi Mumbai, Thane","Snow Flake,datalake,Cloud,AWS,Pyspark,Python,Data Integration",4-10 Years
Data Engineer,Company name confidential,"Jobs for Women, Full time",Bengaluru / Bangalore,"Azure Data Bricks,Adf,Pyspark,Sql",4-10 Years
Data Engineer/AWS Data Engineer,Rapid Talent Solutions,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","AWS Data Engineer,Data Engineer,Python,Etl,Sql,Dwh,AWS",5-10 Years
Google Data Engineer,Career Soft Solution Private Limited,Full time,"Mumbai, Pune","Google Data Engineer,Sql,Java,Python",5-9 Years
Data Engineer,V H R Solutions Private Limited,Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",Data Engineer + Azure Certification or AWS Certification,5-15 Years
Azure Data Engineer,Changeleaders Consulting Private Limited,Full time,"Bengaluru / Bangalore, Chennai","azure datafactory,Azure,databricks",4-14 Years
staff engineer/data engineer,Supernal Infotech Private Limited,Full time,"Bengaluru / Bangalore, Chennai","dimensional modelling,big query,airflow,Python,Java,Sql,Spark",12-16 Years
Azure Data Engineer/ AZURE / SSIS /SSAS /SSIS/ Power Bi/,Attrillion Services Private Limited,Full time,Bengaluru / Bangalore,Azure Data Engineer/ AZURE / SSIS /SSAS /SSIS/ Power Bi/,6-10 Years
Hiring for Data Engineer,Company name confidential,"Jobs for COVID-19 Layoffs, Full time",Bengaluru / Bangalore,"Data Mapping,Data Engineer,Etl,Sql,Python,AWS,Data Modelling",5-8 Years
Data Engineer,Dmaic Academy And Consultancy,Full time,Bengaluru / Bangalore,"Data Engineer,Data Warehouse,Etl,Sql",5-8 Years
Data Engineer,Datafoundry Private Limited,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","ETL Developer,Pentaho,data marts,Data Fabric,Data Mesh,Snowflakes",4-7 Years
Big Data Engineer,Changeleaders Consulting Private Limited,Full time,Bengaluru / Bangalore,"Hadoop,Python,Spark",7-11 Years
We do have job Opening in U.S. For Big Data Engineer/H1B Visa Holders,Company name confidential,Full time,"Bengaluru / Bangalore, Delhi","Hadoop Developer,sqoop scripting,Java,Sqoop,Scala,Flume",5-12 Years
Data Engineer,People Grown Technologies Private Limited,Full time,Bengaluru / Bangalore,"Pyspark,Databricks,Data Engineer,data engineering,Sql",8-12 Years
Data Engineer,Aurumdata Solutions India Private Limited,"Contract Job, Part time","Bengaluru / Bangalore, Chennai","Data Engineer,Python,AWS,Spark,Pyspark,Sql,Git",6-12 Years
IT Multinational Company Looking for LEAD -Azure Data Engineer,Anlage Infotech India Private Limited,Full time,"Bengaluru / Bangalore, Pune","azure data engineer,Azure",10-15 Years
GCP Big Data Engineer,JV Tekpro,Full time,Bengaluru / Bangalore,GCP Big Data Engineer,5-8 Years
Data Engineer-AWS Glue,Mississippi Consultants LLP,Full time,"Mumbai, Pune","Glue,AWS,Pyspark",3-8 Years
DATA ENGINEER,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Full time,"Bengaluru / Bangalore, Chennai","Data Engineer,Pyspark,Python",8-13 Years
Data Engineer,Yara International,Full time,"Bengaluru / Bangalore, India","Sql,AWS,Docker,Jenkins,Git,Python",3-5 Years
GCP,Tech Mahindra Limited,Full time,"Noida, Greater Noida","""Hadoop"",""Hive"",""Spark"",""Big Data"",""Data Engineer"",""GCP""",3-8 Years
Data Developer / Architect (Data Engineer),NTT Data,Full time,"Bengaluru / Bangalore, India","workload management,stream processing,dependency,metadata",5-7 Years
Hiring for Data Engineer immediate,Company name confidential,"Jobs for Women, Full time","Bengaluru / Bangalore, Gurgaon / Gurugram","snowflake,Python Programming,Sql,Hadoop,Etl,Hive",7-12 Years
Consulting-SA&MA-Azure Data Engineer,Deloitte,Full time,"Mumbai, India","Azure Function,Azure Data Catalog,Service Bus,Event Grid,ETL processing",3-5 Years
Snowflake Data Engineer,KPMG,Full time,"Gurugram, Gurgaon / Gurugram","snowflake,SnowPro,Process Analytics,cloud-based data platform",0-2 Years
Data Engineer- BIG DATA,Spectral Consultants,Full time,"Delhi, Noida","Data Modelling,Sql,python,Java,AWS,Azure",6-8 Years
Big Data Engineer,Aarika Hr Professionals Private Limited,Full time,Jaipur,"Etl Tools,Sql,AWS,Azure",1-5 Years
Data Engineer with Python Programmer,Aurumdata Solutions India Private Limited,"Contract Job, Part time","Chennai, Hyderabad / Secunderabad, Telangana","Ai,Glue,Airflow jobs,Athena,Parquet,Data Engineer,Python",10-20 Years
Manager_GCP Data Engineer_D&A_Pune,Vodafone Intelligent Solutions,Full time,"Pune, India",,Fresher
Lighthouse Pyspark Data Engineer-Assistant Manager,KPMG,Full time,Bengaluru / Bangalore,"transformations,Feature Engineering,Pyspark,Python,Data Cleaning",0-2 Years
Data Engineer _AWS,Clinicart Healthcare Consulting,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Data Processing,Analytics,Monitoring,Big Data Analytics,Debugging",1-5 Years
Data Engineer- Smart Building Analytics,ValueSoft Info Services Private Limited,Full time,Pune,"Big Data,AWS,Web Service,Amazon Web Service,Data Engineer",6-9 Years
Big data Developer,Silverlink Technologies Private Limited,Full time,"Bengaluru / Bangalore, Pune","HDFS,Big data Engineer,Hadoop,Big Data,Hive,Scala,Impala",5-8 Years
Pipeline Engineers,Quess IT Staffing (Formerly known as Magna Infotech),Full time,Bengaluru / Bangalore,"Pipeline Engineer,Data Engineer,Data Architecture,Python,Java",5-8 Years
Data Engineer - Global People Analytics,Boston Consulting Group,Full time,"Delhi, India","HR domain knowledge,HR data analysis,Java,Data Modeling,Python",3-5 Years
Snowflake Data Engineer,KPMG,Full time,"Gurugram, Gurgaon / Gurugram","snowflake,SnowPro,Process Analytics,cloud-based data platform",0-2 Years
Data Engineer,AXA,Full time,Gurgaon / Gurugram,"data development,Analysis Tools,Analytics,Analysis,Analytical",
Data Developer / Architect (Data Engineer),NTT Data,Full time,"Bengaluru / Bangalore, India","workload management,stream processing,dependency,metadata",5-7 Years
Lighthouse Pyspark Data Engineer-Assistant Manager,KPMG,Full time,Bengaluru / Bangalore,"transformations,Feature Engineering,Pyspark,Python,Data Cleaning",0-2 Years
Manager_GCP Data Engineer_D&A_Pune,Vodafone Intelligent Solutions,Full time,"Pune, India",,Fresher
